L.F. Klein [1777]: (-0.43609984482174935, 0.7485998448217493) -- 1
Alex Wilson [3426]: (-0.43588725978773574, 0.748812429855763) -- 1
R.N. Berryman [230]: (-0.43477408724599176, 0.7499256023975069) -- 1
Willett [3394]: (-0.4329295549666769, 0.7517701346768217) -- 1
James Hynson [1586]: (-0.43163555910746365, 0.753064130536035) -- 1
Centenary (LA)_UNKNOWN_COACH: (-0.4296279513306251, 0.7550717383128736) -- 1
John McGough [2123]: (-0.4290845386993004, 0.7556151509441983) -- 1
Bill Allen [35]: (-0.4287134811853857, 0.755986208458113) -- 1
Dave Balza [130]: (-0.42715810440877, 0.7575415852347287) -- 1
Adam Walsh [3292]: (-0.42715810440877, 0.7575415852347287) -- 1
New Orleans_UNKNOWN_COACH: (-0.42715810440877, 0.7575415852347287) -- 1
Brooks Lee [1879]: (-0.42618670282779164, 0.758512986815707) -- 1
Ricky Duckett [890]: (-0.4256831781550827, 0.759016511488416) -- 1
D. Schaffner [2833]: (-0.4256831781550827, 0.759016511488416) -- 1
Mike Vosburg [3260]: (-0.4246851741630667, 0.760014515480432) -- 1
Paul Abbott [2]: (-0.4246079093378784, 0.7600917803056203) -- 1
Oklahoma City_UNKNOWN_COACH: (-0.42180720916283465, 0.762892480480664) -- 1
Herb Krusen [1812]: (-0.4213461273496304, 0.7633535622938683) -- 1
George Cobb [591]: (-0.421297213242802, 0.7634024764006967) -- 1
Chris Walker [3278]: (-0.4188204330570435, 0.7658792565864552) -- 1
Murray Garvin [1161]: (-0.4179312401705866, 0.7667684494729121) -- 1
Anthony Latina [1858]: (-0.4179312401705866, 0.7667684494729121) -- 1
Jeff Bower [300]: (-0.4179312401705866, 0.7667684494729121) -- 1
Jayson Gee [1172]: (-0.4179312401705866, 0.7667684494729121) -- 1
Phil Cunningham [719]: (-0.4179312401705866, 0.7667684494729121) -- 1
Bud Getchell [1178]: (-0.41723463744847744, 0.7674650521950213) -- 1
David Reese [2656]: (-0.4169748928601378, 0.4207342913563784) -- 2
Dick Moles [2242]: (-0.41582428907795504, 0.42188489513856114) -- 2
Paul Alyea [52]: (-0.41547909652242965, 0.769220593121069) -- 1
V.M. Geddy [1171]: (-0.41547909652242965, 0.769220593121069) -- 1
Ben Lindsey [1909]: (-0.4153951123114613, 0.7693045773320374) -- 1
Dave Buss [439]: (-0.41448423217352803, 0.7702154574699707) -- 1
Baltimore_UNKNOWN_COACH: (-0.41448423217352803, 0.7702154574699707) -- 1
John Sitarski [2938]: (-0.4144357343923015, 0.7702639552511972) -- 1
Kyle Anderson [68]: (-0.41191113845343336, 0.42579804576308283) -- 2
Burnet Stoney [3064]: (-0.41162695325548426, 0.7730727363880144) -- 1
Dave Possinger [2563]: (-0.4115380367036682, 0.7731616529398305) -- 1
Sol Metzger [2191]: (-0.4078260352979398, 0.7768736543455589) -- 1
Talbert Jessuppe [1631]: (-0.40672110230677927, 0.7779785873367194) -- 1
William Logan [1929]: (-0.4063033331938424, 0.7783963564496563) -- 1
Ross Giudice [1206]: (-0.40450454095434607, 0.7801951486891526) -- 1
E.L. Anderson [59]: (-0.40394404772030007, 0.7807556419231987) -- 1
Conn Davis [755]: (-0.4033254545778469, 0.7813742350656518) -- 1
Bill Turner [3208]: (-0.40320007119057927, 0.4345091130259369) -- 2
Charles Farrell [1017]: (-0.40156037113753884, 0.7831393185059599) -- 1
Tim Somerville [2990]: (-0.401450028011087, 0.4362591562054292) -- 2
Patrick Nicholson [2364]: (-0.40092595234636175, 0.43678323187015444) -- 2
Dom Rosselli [2772]: (-0.40073307835468347, 0.7839666112888153) -- 1
Jack Tierney [3170]: (-0.40073307835468347, 0.7839666112888153) -- 1
Fred Conley [627]: (-0.39880145772497516, 0.7858982319185235) -- 1
Jack Otten [2445]: (-0.39614731317617974, 0.788552376467319) -- 1
Kemper Shelton [2903]: (-0.39592127339317795, 0.7887784162503207) -- 1
Tom O'Connor [2398]: (-0.39268090079282386, 0.44502828342369233) -- 2
T.R. Sweetland [3104]: (-0.39234984482174934, 0.7923498448217494) -- 1
Richard Phelan [2524]: (-0.39234984482174934, 0.7923498448217494) -- 1
Bill Easton [928]: (-0.3907994572248501, 0.7939002324186486) -- 1
Lindsay Austin [104]: (-0.3898181992521291, 0.7948814903913696) -- 1
E.C. Curtiss [725]: (-0.38891447234777904, 0.44879471186873715) -- 2
George Muellich [2295]: (-0.3862892387611433, 0.7984104508823554) -- 1
John Williams [3408]: (-0.385249253105773, 0.7994504365377257) -- 1
Red White [3369]: (-0.3840444655259796, 0.4536647186905366) -- 2
