Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
191,5,Oct 13 1928,Sat,Missouri,60,,Centre,0,
192,5,Oct 13 1928,Sat,Nebraska,26,,Montana State,6,
193,5,Oct 13 1928,Sat,New York University,34,,Fordham,7,New York NY
194,5,Oct 13 1928,Sat,Notre Dame,7,,Navy,0,Chicago IL
195,5,Oct 13 1928,Sat,Ohio State,10,@,Northwestern,0,
196,5,Oct 13 1928,Sat,Oregon,38,,Willamette,6,
197,5,Oct 13 1928,Sat,Oregon State,46,,Pacific (Oregon),0,Portland OR
198,5,Oct 13 1928,Sat,Pennsylvania,67,,Swarthmore,0,
199,5,Oct 13 1928,Sat,Rice,20,,Trinity (Texas),6,
200,5,Oct 13 1928,Sat,South Carolina,21,,Maryland,7,
201,5,Oct 13 1928,Sat,Southern California,19,,Saint Mary's (CA),6,
202,5,Oct 13 1928,Sat,Southern Methodist,6,,Hardin-Simmons,0,Wichita Falls TX
203,5,Oct 13 1928,Sat,Stanford,45,,UCLA,7,
204,5,Oct 13 1928,Sat,Syracuse,58,,Johns Hopkins,0,
205,5,Oct 13 1928,Sat,Tennessee,13,,Mississippi,12,
206,5,Oct 13 1928,Sat,Texas Christian,21,,Austin,0,
207,5,Oct 13 1928,Sat,Transylvania,14,@,Sewanee,13,
208,5,Oct 13 1928,Sat,Utah State,7,,Denver,7,
209,5,Oct 13 1928,Sat,Vanderbilt,13,@,Texas,12,Dallas TX
210,5,Oct 13 1928,Sat,Virginia,0,,Princeton,0,
211,5,Oct 13 1928,Sat,Virginia Military Institute,31,,Roanoke,13,
212,5,Oct 13 1928,Sat,Wake Forest,0,,William & Mary,0,
213,5,Oct 13 1928,Sat,Washington,25,,Montana,0,
214,5,Oct 13 1928,Sat,West Virginia,9,@,Pittsburgh,6,
215,5,Oct 13 1928,Sat,Wisconsin,13,,North Dakota State,7,
216,5,Oct 13 1928,Sat,Yale,21,,Georgia,6,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
217,6,Oct 18 1928,Thu,North Carolina State,37,,Wake Forest,0,
218,6,Oct 19 1928,Fri,Clemson,52,,Erskine,0,
219,6,Oct 19 1928,Fri,South Carolina,13,,Presbyterian,0,
220,6,Oct 19 1928,Fri,Utah State,24,@,Wyoming,6,
221,6,Oct 20 1928,Sat,Army,15,@,Harvard,0,
222,6,Oct 20 1928,Sat,Baylor,28,@,Centenary (LA),7,
223,6,Oct 20 1928,Sat,Brigham Young,46,@,Western State,0,
224,6,Oct 20 1928,Sat,Butler,13,,Washington (MO),7,
225,6,Oct 20 1928,Sat,Carnegie Mellon,19,,Washington & Jefferson,0,
226,6,Oct 20 1928,Sat,Citadel,26,,Davidson,12,
227,6,Oct 20 1928,Sat,Colgate,16,@,Michigan State,0,
228,6,Oct 20 1928,Sat,Colorado,39,,Colorado Mines,0,
229,6,Oct 20 1928,Sat,Colorado College,18,@,Denver,13,
230,6,Oct 20 1928,Sat,Cornell,18,,Hampden-Sydney,6,
231,6,Oct 20 1928,Sat,Dartmouth,21,,Columbia,7,
232,6,Oct 20 1928,Sat,Detroit Mercy,27,,Loyola (LA),0,
233,6,Oct 20 1928,Sat,Drake,19,,Grinnell,7,
234,6,Oct 20 1928,Sat,Florida,73,,Mercer,0,
235,6,Oct 20 1928,Sat,Fordham,19,@,Holy Cross,13,
236,6,Oct 20 1928,Sat,Georgetown,34,,West Virginia Wesleyan,7,
237,6,Oct 20 1928,Sat,Georgia,7,,Furman,0,
238,6,Oct 20 1928,Sat,Georgia Tech,13,,Notre Dame,0,
239,6,Oct 20 1928,Sat,Illinois,13,,Indiana,7,
240,6,Oct 20 1928,Sat,Iowa,61,,Ripon,6,
241,6,Oct 20 1928,Sat,Kansas,7,@,Kansas State,0,
242,6,Oct 20 1928,Sat,Louisiana State,31,@,Mississippi State,0,Jackson MS
243,6,Oct 20 1928,Sat,Maryland,13,,McDaniel,6,
244,6,Oct 20 1928,Sat,Minnesota,33,,Chicago,7,
245,6,Oct 20 1928,Sat,Mississippi,19,@,Auburn,0,Birmingham AL
246,6,Oct 20 1928,Sat,Missouri,28,,Iowa State,19,
247,6,Oct 20 1928,Sat,Montana,20,,Montana Tech,0,
248,6,Oct 20 1928,Sat,Montana State,6,,Northern Colorado,2,
249,6,Oct 20 1928,Sat,Navy,6,,Duke,0,
250,6,Oct 20 1928,Sat,Nebraska,7,,Syracuse,6,
251,6,Oct 20 1928,Sat,New York University,48,,Rutgers,0,Bronx NY
252,6,Oct 20 1928,Sat,Northwestern,7,,Kentucky,0,
253,6,Oct 20 1928,Sat,Ohio State,19,,Michigan,7,
254,6,Oct 20 1928,Sat,Oklahoma,7,@,Creighton,0,
255,6,Oct 20 1928,Sat,Oregon,27,,Washington,0,Portland OR
256,6,Oct 20 1928,Sat,Pennsylvania,14,,Penn State,0,
257,6,Oct 20 1928,Sat,Pittsburgh,29,,Allegheny,0,
258,6,Oct 20 1928,Sat,Princeton,47,,Lehigh,0,
259,6,Oct 20 1928,Sat,Sewanee,38,,Cumberland,0,
260,6,Oct 20 1928,Sat,Southern California,0,,California,0,
261,6,Oct 20 1928,Sat,Southern Methodist,53,,Rice,13,
262,6,Oct 20 1928,Sat,Stanford,47,,Idaho,0,San Francisco CA
263,6,Oct 20 1928,Sat,Tennessee,15,@,Alabama,13,
264,6,Oct 20 1928,Sat,Texas,20,,Arkansas,7,
265,6,Oct 20 1928,Sat,Texas Christian,6,@,Texas A&M,0,
266,6,Oct 20 1928,Sat,UCLA,29,,Pomona-Pitzer,0,
267,6,Oct 20 1928,Sat,Utah,6,,Colorado State,0,
268,6,Oct 20 1928,Sat,Vanderbilt,13,@,Tulane,6,
269,6,Oct 20 1928,Sat,Virginia Military Institute,9,,Virginia,0,
270,6,Oct 20 1928,Sat,Virginia Tech,16,@,North Carolina,14,
271,6,Oct 20 1928,Sat,Washington State,9,,Oregon State,7,
272,6,Oct 20 1928,Sat,West Virginia,22,,Washington & Lee,0,Charleston WV
273,6,Oct 20 1928,Sat,Wisconsin,19,,Purdue,19,
274,6,Oct 20 1928,Sat,Yale,32,,Brown,14,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
275,7,Oct 25 1928,Thu,Clemson,32,@,South Carolina,0,
276,7,Oct 26 1928,Fri,Syracuse,6,,Penn State,6,
277,7,Oct 27 1928,Sat,Alabama,42,,Sewanee,12,Birmingham AL
278,7,Oct 27 1928,Sat,Army,18,@,Yale,6,
279,7,Oct 27 1928,Sat,Auburn,25,,Samford,6,
280,7,Oct 27 1928,Sat,Baylor,48,,St. Edward's,7,
281,7,Oct 27 1928,Sat,Brown,19,,Tufts,13,
282,7,Oct 27 1928,Sat,Carnegie Mellon,6,@,Pittsburgh,0,
283,7,Oct 27 1928,Sat,Colorado Mines,26,,Western State,19,
284,7,Oct 27 1928,Sat,Columbia,20,,Williams,6,
285,7,Oct 27 1928,Sat,Detroit Mercy,7,@,Dayton,0,
286,7,Oct 27 1928,Sat,Florida,14,,North Carolina State,7,Jacksonville FL
287,7,Oct 27 1928,Sat,Fordham,34,,Washington & Jefferson,0,New York NY
288,7,Oct 27 1928,Sat,Furman,26,,Wofford,0,
289,7,Oct 27 1928,Sat,Georgetown,35,,Duke,0,
290,7,Oct 27 1928,Sat,Georgia,20,,Tulane,14,
291,7,Oct 27 1928,Sat,Georgia Tech,20,@,North Carolina,7,
292,7,Oct 27 1928,Sat,Harvard,19,,Dartmouth,7,
293,7,Oct 27 1928,Sat,Haskell,7,,Washington (MO),0,
294,7,Oct 27 1928,Sat,Idaho,20,,UCLA,6,
295,7,Oct 27 1928,Sat,Illinois,6,,Northwestern,0,
296,7,Oct 27 1928,Sat,Iowa,7,,Minnesota,6,
297,7,Oct 27 1928,Sat,Iowa State,0,,Kansas,0,
298,7,Oct 27 1928,Sat,Kentucky,8,,Centre,0,
299,7,Oct 27 1928,Sat,Louisiana State,30,,Spring Hill,7,
300,7,Oct 27 1928,Sat,Loyola (LA),34,,Mississippi,14,
301,7,Oct 27 1928,Sat,Marquette,26,,Oklahoma State,0,
302,7,Oct 27 1928,Sat,Montana State,0,,Montana,0,
303,7,Oct 27 1928,Sat,Navy,6,@,Pennsylvania,0,
304,7,Oct 27 1928,Sat,Nebraska,24,,Missouri,0,
305,7,Oct 27 1928,Sat,New York University,47,,Colgate,6,Bronx NY
306,7,Oct 27 1928,Sat,Northern Colorado,28,@,Wyoming,0,
307,7,Oct 27 1928,Sat,Notre Dame,32,,Drake,6,
308,7,Oct 27 1928,Sat,Ohio State,13,@,Indiana,0,
309,7,Oct 27 1928,Sat,Oklahoma,33,,Kansas State,21,
310,7,Oct 27 1928,Sat,Olympic Club,12,@,California,0,
311,7,Oct 27 1928,Sat,Oregon,24,,Western Oregon,0,
312,7,Oct 27 1928,Sat,Oregon State,29,@,Washington,0,
313,7,Oct 27 1928,Sat,Princeton,3,,Cornell,0,
314,7,Oct 27 1928,Sat,Purdue,40,@,Chicago,0,
315,7,Oct 27 1928,Sat,Saint Louis,16,,Creighton,6,
316,7,Oct 27 1928,Sat,Southern California,19,,Occidental,0,
317,7,Oct 27 1928,Sat,Southern Methodist,60,,Trinity (Texas),7,
318,7,Oct 27 1928,Sat,Stanford,47,,Fresno State,0,
319,7,Oct 27 1928,Sat,Tennessee,26,,Washington & Lee,7,
320,7,Oct 27 1928,Sat,Texas,13,@,Rice,6,
321,7,Oct 27 1928,Sat,Texas Christian,28,,Texas Tech,6,
322,7,Oct 27 1928,Sat,Utah,25,@,Colorado,6,
323,7,Oct 27 1928,Sat,Utah State,10,@,Brigham Young,0,
324,7,Oct 27 1928,Sat,Vanderbilt,34,,Virginia,0,
325,7,Oct 27 1928,Sat,Virginia Military Institute,0,,Maryland,0,Richmond VA
326,7,Oct 27 1928,Sat,Virginia Tech,54,,King,0,
327,7,Oct 27 1928,Sat,Wake Forest,25,,Davidson,6,Charlotte NC
328,7,Oct 27 1928,Sat,Washington State,51,,Albertson,0,
329,7,Oct 27 1928,Sat,West Virginia,17,@,Lafayette,0,
330,7,Oct 27 1928,Sat,Wisconsin,7,@,Michigan,0,
331,7,Oct 29 1928,Mon,Arkansas,27,,Texas A&M,12,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
332,8,Nov 1 1928,Thu,South Carolina,0,,Citadel,0,Orangeburg SC
333,8,Nov 3 1928,Sat,Arkansas,7,,Louisiana State,0,Shreveport LA
334,8,Nov 3 1928,Sat,Army,38,,DePauw,12,
335,8,Nov 3 1928,Sat,Baylor,7,@,Texas Christian,6,
336,8,Nov 3 1928,Sat,Brown,6,,Holy Cross,0,
337,8,Nov 3 1928,Sat,California,13,,Oregon,0,
338,8,Nov 3 1928,Sat,Carnegie Mellon,32,,Westminster (Pennsylvania),0,
339,8,Nov 3 1928,Sat,Colgate,14,,Wabash,6,
340,8,Nov 3 1928,Sat,Colorado State,7,,Utah State,6,
341,8,Nov 3 1928,Sat,Cornell,0,,Columbia,0,
342,8,Nov 3 1928,Sat,Denver,26,,Wyoming,7,
343,8,Nov 3 1928,Sat,Detroit Mercy,38,,Saint Louis,0,
344,8,Nov 3 1928,Sat,Drake,6,@,Missouri,0,
345,8,Nov 3 1928,Sat,Duke,38,,Mercer,18,
346,8,Nov 3 1928,Sat,Florida,71,,Sewanee,6,Jacksonville FL
347,8,Nov 3 1928,Sat,Furman,18,,Wake Forest,0,Charlotte NC
348,8,Nov 3 1928,Sat,Georgetown,7,@,New York University,2,Bronx NY
349,8,Nov 3 1928,Sat,Georgia,13,,Auburn,0,Columbus GA
350,8,Nov 3 1928,Sat,Georgia Tech,32,,Oglethorpe,7,
351,8,Nov 3 1928,Sat,Grinnell,20,,Marquette,13,
352,8,Nov 3 1928,Sat,Harvard,39,,Lehigh,0,
353,8,Nov 3 1928,Sat,Iowa,19,,South Dakota,0,
354,8,Nov 3 1928,Sat,Iowa State,13,,Oklahoma,0,
355,8,Nov 3 1928,Sat,Michigan,3,,Illinois,0,
356,8,Nov 3 1928,Sat,Mississippi,26,,Clemson,7,
357,8,Nov 3 1928,Sat,Mississippi State,6,,Michigan State,6,
358,8,Nov 3 1928,Sat,Montana State,19,,Brigham Young,7,
359,8,Nov 3 1928,Sat,Navy,37,,West Virginia Wesleyan,0,
360,8,Nov 3 1928,Sat,Nebraska,20,@,Kansas,0,
361,8,Nov 3 1928,Sat,North Carolina,6,,North Carolina State,6,
362,8,Nov 3 1928,Sat,Northern Colorado,34,@,Colorado Mines,13,
363,8,Nov 3 1928,Sat,Northwestern,10,,Minnesota,9,
364,8,Nov 3 1928,Sat,Notre Dame,9,@,Penn State,0,Philadelphia PA
365,8,Nov 3 1928,Sat,Oklahoma City,9,@,Oklahoma State,0,
366,8,Nov 3 1928,Sat,Oregon State,44,,Montana,0,
367,8,Nov 3 1928,Sat,Pennsylvania,20,@,Chicago,13,
368,8,Nov 3 1928,Sat,Pittsburgh,18,,Syracuse,0,
369,8,Nov 3 1928,Sat,Princeton,6,,Ohio State,6,
370,8,Nov 3 1928,Sat,Purdue,19,,Case,0,
371,8,Nov 3 1928,Sat,South Dakota State,18,,Creighton,7,
372,8,Nov 3 1928,Sat,Southern California,10,,Stanford,0,
373,8,Nov 3 1928,Sat,Southern Methodist,6,@,Texas,2,
374,8,Nov 3 1928,Sat,Southwestern (TX),14,@,Rice,6,
375,8,Nov 3 1928,Sat,Tennessee,57,,Carson-Newman,0,
376,8,Nov 3 1928,Sat,Texas A&M,44,,North Texas,0,
377,8,Nov 3 1928,Sat,Tulane,27,,Millsaps,0,
378,8,Nov 3 1928,Sat,Utah,27,,Colorado College,21,
