Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie ▴,Pts,Notes
117,6,Oct 16 1965,Sat,William & Mary,41,@,Davidson,7,
118,7,Oct 23 1965,Sat,Virginia Military Institute,16,@,Davidson,10,
119,8,Oct 30 1965,Sat,George Washington,23,,Davidson,7,
120,12,Nov 25 1965,Thu,Bucknell,22,@,Davidson,14,Charlotte NC
121,2,Sep 18 1965,Sat,Cincinnati,28,,Dayton,0,
122,3,Sep 25 1965,Sat,Kent State,14,,Dayton,6,
123,4,Oct 2 1965,Sat,Bowling Green State,9,@,Dayton,0,
124,5,Oct 9 1965,Sat,Louisville,34,,Dayton,0,
125,6,Oct 16 1965,Sat,Quantico Marines,10,@,Dayton,0,
126,9,Nov 6 1965,Sat,Xavier,10,,Dayton,0,
127,10,Nov 13 1965,Sat,Miami (OH),28,@,Dayton,0,
128,11,Nov 20 1965,Sat,Toledo,21,,Dayton,7,
129,9,Nov 6 1965,Sat,Buffalo,22,@,Delaware,0,
130,2,Sep 18 1965,Sat,Iowa State,21,,Drake,0,
131,9,Nov 6 1965,Sat,West Texas A&M,20,,Drake,14,
132,10,Nov 13 1965,Sat,Louisville,32,@,Drake,17,
133,6,Oct 16 1965,Sat,Clemson,3,@,Duke,2,
134,7,Oct 23 1965,Sat,Illinois,28,,Duke,14,
135,8,Oct 30 1965,Sat,Georgia Tech,35,,Duke,23,
136,9,Nov 6 1965,Sat,North Carolina State,21,,Duke,0,
137,4,Oct 2 1965,Sat,Furman,14,,East Carolina,7,
138,3,Sep 25 1965,Sat,Marshall,28,@,Eastern Kentucky,12,
139,8,Oct 30 1965,Sat,New Mexico State,41,,Eastern New Mexico,7,
140,3,Sep 25 1965,Sat,Texas Christian,7,,Florida State,3,
141,5,Oct 9 1965,Sat,Kentucky,26,,Florida State,24,
142,7,Oct 23 1965,Sat,Alabama,21,,Florida State,0,
143,10,Nov 13 1965,Sat,North Carolina State,3,,Florida State,0,
144,11,Nov 20 1965,Sat,Houston,16,,Florida State,16,
145,12,Nov 27 1965,Sat,Florida,30,,Florida State,17,
146,3,Sep 25 1965,Sat,Mississippi State,18,@,(8) Florida,13,
147,8,Oct 30 1965,Sat,Auburn,28,,(7) Florida,17,
148,11,Nov 20 1965,Sat,Miami (FL),16,,(10) Florida,13,
149,16,Jan 1 1966,Sat,(6) Missouri,20,,Florida,18,Sugar Bowl (New Orleans LA)
150,2,Sep 18 1965,Sat,Furman,51,,Frederick,14,
151,3,Sep 25 1965,Sat,Colorado,10,,Fresno State,7,
152,3,Sep 25 1965,Sat,Davidson,24,@,Furman,0,
153,5,Oct 9 1965,Sat,Wofford,35,,Furman,13,
154,6,Oct 16 1965,Sat,Presbyterian,14,,Furman,7,
155,9,Nov 6 1965,Sat,George Washington,24,@,Furman,7,
156,11,Nov 20 1965,Sat,Citadel,28,,Furman,0,
157,5,Oct 9 1965,Sat,Virginia Tech,17,@,George Washington,12,
158,6,Oct 15 1965,Fri,Cincinnati,13,@,George Washington,3,
159,7,Oct 23 1965,Sat,William & Mary,28,,George Washington,14,
160,10,Nov 13 1965,Sat,East Carolina,21,,George Washington,20,
161,11,Nov 20 1965,Sat,West Virginia,37,,George Washington,24,
162,3,Sep 25 1965,Sat,Texas A&M,14,@,Georgia Tech,10,
163,9,Nov 6 1965,Sat,Tennessee,21,,(7) Georgia Tech,7,
164,12,Nov 27 1965,Sat,Georgia,17,@,Georgia Tech,7,
165,6,Oct 16 1965,Sat,Florida State,10,,(5) Georgia,3,
166,7,Oct 23 1965,Sat,Kentucky,28,,(10) Georgia,10,
167,9,Nov 6 1965,Sat,Florida,14,,Georgia,10,Jacksonville FL
168,10,Nov 13 1965,Sat,Auburn,21,@,Georgia,19,
169,7,Oct 23 1965,Sat,Dartmouth,14,@,Harvard,0,
170,9,Nov 6 1965,Sat,Princeton,14,@,Harvard,6,
171,1,Sep 11 1965,Sat,Utah State,31,,Hawaii,12,
172,2,Sep 18 1965,Sat,Colorado State,54,,Hawaii,6,
173,4,Oct 2 1965,Sat,Pacific,21,,Hawaii,0,
174,3,Sep 25 1965,Sat,Harvard,17,,Holy Cross,7,
175,4,Oct 2 1965,Sat,Dartmouth,27,@,Holy Cross,6,
176,5,Oct 9 1965,Sat,Colgate,7,,Holy Cross,3,
177,6,Oct 16 1965,Sat,Boston University,7,,Holy Cross,7,
178,7,Oct 23 1965,Sat,Syracuse,32,,Holy Cross,6,
179,9,Nov 6 1965,Sat,Massachusetts,27,,Holy Cross,0,
180,10,Nov 13 1965,Sat,Rutgers,14,,Holy Cross,0,
181,12,Nov 27 1965,Sat,Boston College,35,@,Holy Cross,0,
182,1,Sep 11 1965,Sat,Tulsa,14,@,Houston,0,
183,2,Sep 18 1965,Sat,Mississippi State,36,@,Houston,0,
184,5,Oct 9 1965,Sat,Texas A&M,10,,Houston,7,
185,6,Oct 16 1965,Sat,Miami (FL),44,,Houston,12,
186,7,Oct 23 1965,Sat,Tennessee,17,,Houston,8,
187,10,Nov 13 1965,Sat,Idaho,15,,Idaho State,7,
188,2,Sep 18 1965,Sat,Washington,14,,Idaho,9,
189,5,Oct 9 1965,Sat,Utah State,30,,Idaho,19,
190,6,Oct 16 1965,Sat,Oregon State,16,@,Idaho,14,Boise ID
191,8,Oct 30 1965,Sat,Oregon,17,,Idaho,14,
192,10,Nov 9 1965,Tue,Weber State,14,,Idaho,7,
193,2,Sep 18 1965,Sat,Oregon State,12,@,Illinois,10,
194,4,Oct 2 1965,Sat,(9) Michigan State,22,,Illinois,12,
195,5,Oct 9 1965,Sat,Ohio State,28,,Illinois,14,
196,9,Nov 6 1965,Sat,Michigan,23,@,Illinois,3,
197,3,Sep 25 1965,Sat,Northwestern,20,@,Indiana,0,
198,4,Oct 2 1965,Sat,(1) Texas,27,,Indiana,12,
199,5,Oct 9 1965,Sat,Minnesota,42,,Indiana,18,
200,6,Oct 16 1965,Sat,Illinois,34,,Indiana,13,
201,7,Oct 23 1965,Sat,Washington State,8,@,Indiana,7,
202,9,Nov 6 1965,Sat,Ohio State,17,,Indiana,10,
