Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv,WinLossRank,WinLossInv
Georgetown,Tommy Nolan [2372],,,,,,154,,,
Middle Tennessee,Edgar Diddle [820],,,,,,155,,,
City College of New York-nm,Nat Holman [1513],,,,,,156,,,
Clemson,Press Maravich [2013],,,,,,157,,,
Canisius,Joseph Curran [721],,,,,,158,,,
Mississippi,Country Graham [1237],,,,,,159,,,
Virginia Military Institute,Weenie Miller [2220],,,,,,160,,,
Lehigh,Anthony Packer [2451],,,,,,161,,,
West Texas A&M,Borden Price [2584],,,,,,162,,,
Canisius,Bob MacKinnon [1978],,,,,,163,,,
North Texas,Pete Shands [2892],,,,,,164,,,
Temple,Harry Litwack [1919],,,,,,165,,,
Missouri,Sparky Stalcup [3012],,,,,,166,,,
San Francisco,Phil Woolpert [3472],,,,,,167,,,
St. Francis (NY),Daniel Lynch [1965],,,,,,168,,,
San Jose State,Walter McPherson [2159],,,,,,169,,,
South Carolina,Walter Hambrick [1327],,,,,,170,,,
Texas,Marshall Hughes [1556],,,,,,171,,,
Siena,Dan Cunha [716],,,,,,172,,,
Arizona,Fred Enke [979],,,,,,173,,,
Wyoming,Everett Shelton [2902],,,,,,174,,,
Wisconsin,Bud Foster [1099],,,,,,175,,,
New Mexico,Bob Sweeney [3099],,,,,,176,,,
Columbia,Archie Oldham [2423],,,,,,177,,,
Western Michigan,Don Boven [298],,,,,,178,,,
Washington & Lee,Bob McHenry [2129],,,,,,179,,,
