Rank,Name,Won,Lost,Tied,Pct.
313,Southern U.,1,11,1,0.115
314,Towson,1,15,2,0.111
,UALR,2,16,0,0.111
316,UAB,2,17,0,0.105
,Saint Peter's,2,17,0,0.105
318,North Dakota,1,13,1,0.100
319,Cornell,1,14,1,0.094
320,Bowling Green,1,17,1,0.079
321,VMI,1,16,0,0.059
NR,Northern Ky.,6,11,0,0.353
NR,Neb. Omaha,3,15,0,0.167
