Rank,Name,Won,Lost,Tied,Pct.
90,Dartmouth,9,6,2,0.588
91,Northeastern,11,8,0,0.579
,Gonzaga,11,8,0,0.579
,Utah St.,10,7,2,0.579
,UTEP,11,8,0,0.579
95,Marquette,11,8,1,0.575
,Buffalo,11,8,1,0.575
,Centenary (LA),10,7,3,0.575
,Colgate,11,8,1,0.575
,Rice,11,8,1,0.575
,Wake Forest,10,7,3,0.575
101,Texas,12,9,0,0.571
,George Mason,9,6,6,0.571
,Maryland,11,8,2,0.571
104,Loyola Maryland,12,9,1,0.568
,Rutgers,10,7,5,0.568
106,Georgia,13,10,0,0.565
107,Michigan,11,8,6,0.560
108,Siena,9,7,1,0.559
,Yale,9,7,1,0.559
110,Monmouth,9,7,2,0.556
111,IPFW,9,7,3,0.553
,Fairleigh Dickinson,10,8,1,0.553
,UNI,10,8,1,0.553
,Southern Miss.,9,7,3,0.553
,American,10,8,1,0.553
,UT Martin,9,7,3,0.553
117,South Carolina,10,8,3,0.548
118,Richmond,11,9,2,0.545
119,Harvard,6,5,5,0.531
,Bucknell,7,6,3,0.531
121,Saint Joseph's,9,8,1,0.528
,Vanderbilt,8,7,3,0.528
,Syracuse,9,8,1,0.528
124,Cal St. Fullerton,9,8,2,0.526
,Wyoming,10,9,0,0.526
,Alabama,9,8,2,0.526
,UNC Wilmington,9,8,2,0.526
,TCU,9,8,2,0.526
,Binghamton,9,8,2,0.526
130,Oklahoma,8,7,5,0.525
,Niagara,9,8,3,0.525
,Central Mich.,9,8,3,0.525
,Mississippi St.,9,8,3,0.525
,Loyola Marymount,9,8,3,0.525
,LSU,10,9,1,0.525
136,San Diego,9,8,4,0.524
,Wisconsin,10,9,2,0.524
,Idaho St.,10,9,2,0.524
,Southern California,9,8,4,0.524
,Stanford,10,9,2,0.524
,Coastal Caro.,10,9,2,0.524
142,Missouri,12,11,1,0.521
143,South Fla.,8,8,2,0.500
,Fairfield,9,9,1,0.500
,Troy,9,9,0,0.500
,Virginia Tech,9,9,0,0.500
,Green Bay,9,9,1,0.500
,Milwaukee,9,9,1,0.500
,High Point,10,10,1,0.500
,Lehigh,9,9,1,0.500
,LIU Brooklyn,9,9,1,0.500
,Miami (FL),9,9,1,0.500
,UNLV,9,9,3,0.500
,North Carolina St.,9,9,1,0.500
,Northwestern St.,9,9,2,0.500
,Ohio,10,10,1,0.500
,Prairie View,7,7,1,0.500
,Providence,7,7,3,0.500
,Radford,8,8,3,0.500
,St. John's (NY),9,9,1,0.500
,St. Mary's (CA),8,8,3,0.500
,Long Beach St.,9,9,0,0.500
,Cornell,7,7,2,0.500
,East Carolina,7,7,5,0.500
,Eastern Mich.,9,9,3,0.500
,Missouri St.,9,9,3,0.500
167,Texas St.,9,10,2,0.476
,New Hampshire,8,9,4,0.476
,Loyola Chicago,10,11,0,0.476
170,Detroit,9,10,1,0.475
171,Rhode Island,8,9,2,0.474
,Butler,8,9,2,0.474
,California,7,8,4,0.474
,Army,9,10,0,0.474
175,Akron,8,9,1,0.472
,Gardner-Webb,8,9,1,0.472
177,UMBC,7,8,1,0.469
178,Southern U.,6,7,0,0.462
179,La.-Monroe,9,11,2,0.455
180,Tennessee Tech,9,11,0,0.450
,Duquesne,8,10,2,0.450
,Oregon,9,11,0,0.450
183,Indiana,8,10,1,0.447
,Wofford,7,9,3,0.447
,Wright St.,8,10,1,0.447
,Northern Ariz.,7,9,3,0.447
187,Colorado Col.,7,9,2,0.444
,Miami (OH),7,9,2,0.444
,Baylor,7,9,2,0.444
,Fresno St.,7,9,2,0.444
,Louisville,7,9,2,0.444
192,Columbia,6,8,3,0.441
193,Alabama A&M,9,12,1,0.432
194,Montana,8,11,2,0.429
195,Hartford,7,10,3,0.425
,James Madison,7,10,3,0.425
197,San Diego St.,7,10,2,0.421
,Kentucky,6,9,4,0.421
,Arkansas,7,10,2,0.421
,Toledo,8,11,0,0.421
201,Northwestern,7,10,1,0.417
,Portland St.,7,10,1,0.417
,Wagner,7,10,1,0.417
,Sacramento St.,6,9,3,0.417
205,Bowling Green,8,12,3,0.413
206,Mt. St. Mary's,6,9,2,0.412
207,Boise St.,8,12,1,0.405
,Grambling,8,12,1,0.405
209,Charlotte,7,11,2,0.400
,Western Caro.,7,11,2,0.400
,Oregon St.,7,11,2,0.400
212,Stony Brook,7,11,1,0.395
,Air Force,7,11,1,0.395
,Murray St.,6,10,3,0.395
,Georgetown,7,11,1,0.395
,Weber St.,6,10,3,0.395
217,Vermont,5,9,4,0.389
,Minnesota,6,10,2,0.389
,Indiana St.,6,10,2,0.389
220,Birmingham-So.,7,12,2,0.381
221,Winthrop,7,12,1,0.375
222,Arkansas St.,7,12,0,0.368
,Iowa St.,5,10,4,0.368
,Washington St.,6,11,2,0.368
,Arizona,6,11,2,0.368
,Mississippi Val.,7,12,0,0.368
227,Memphis,5,10,3,0.361
,Saint Francis (PA),5,10,3,0.361
229,South Ala.,6,12,3,0.357
230,Quinnipiac,5,10,2,0.353
,Towson,6,11,0,0.353
,Pittsburgh,5,10,2,0.353
233,Davidson,6,12,2,0.350
234,Mercer,5,11,3,0.342
235,Lafayette,4,10,4,0.333
,Jacksonville,6,12,0,0.333
237,La.-Lafayette,6,13,1,0.325
,UALR,6,13,1,0.325
239,Old Dominion,3,9,5,0.324
240,Drury,6,13,0,0.316
241,Jackson St.,4,10,2,0.313
242,Seton Hall,5,12,1,0.306
,Tulsa,5,12,1,0.306
244,McNeese St.,5,13,2,0.300
245,St. Bonaventure,5,13,1,0.289
,Cincinnati,5,13,1,0.289
,Cal St. Northridge,4,12,3,0.289
,Austin Peay,5,13,1,0.289
249,Pacific,4,12,2,0.278
,Howard,5,13,0,0.278
,Manhattan,5,13,0,0.278
,Iowa,4,12,2,0.278
253,Ga. Southern,5,14,1,0.275
254,Valparaiso,3,11,3,0.265
,Massachusetts,4,12,1,0.265
,Marist,4,12,1,0.265
257,San Francisco,5,14,0,0.263
,Charleston So.,4,13,2,0.263
,Idaho,3,12,4,0.263
,New Mexico,3,12,4,0.263
261,Liberty,4,14,2,0.250
,VMI,4,12,0,0.250
263,Temple,4,14,1,0.237
264,Eastern Wash.,3,12,2,0.235
265,Iona,3,13,2,0.222
,Houston,3,13,2,0.222
,Nevada,4,14,0,0.222
,Evansville,3,13,2,0.222
,Elon,4,14,0,0.222
270,La Salle,3,13,1,0.206
,Texas Tech,3,13,1,0.206
272,Texas Southern,2,8,0,0.200
,Sam Houston St.,4,16,0,0.200
,Nicholls St.,4,16,0,0.200
275,Lipscomb,3,15,1,0.184
,Northern Ill.,3,15,1,0.184
277,Ark.-Pine Bluff,2,9,0,0.182
278,FIU,2,13,2,0.176
,IUPUI,2,13,2,0.176
280,Drexel,3,15,0,0.167
281,Morehead St.,2,13,1,0.156
282,Citadel,2,14,1,0.147
283,Marshall,2,15,1,0.139
284,Western Ill.,2,16,1,0.132
,Robert Morris,2,16,1,0.132
286,Saint Peter's,2,17,1,0.125
287,San Jose St.,2,16,0,0.111
288,Southern Utah,2,17,0,0.105
,Youngstown St.,2,17,0,0.105
290,Holy Cross,1,14,1,0.094
,Canisius,1,14,1,0.094
292,Belmont,1,16,1,0.083
293,Albany (NY),1,18,1,0.075
294,Alcorn,0,11,0,0.000
