Dave Clawson [320]: (0.1061117285839061, 0.48680692961107924) -- 5
Watson Brown [209]: (0.10767311566300686, 0.48836831669018) -- 5
John Robinson [1564]: (0.11186396576097579, 0.6033393569474179) -- 3
Jackie Sherrill [1677]: (0.11282712106289083, 0.7147590858336608) -- 2
Dick Tomey [1853]: (0.11664570528330842, 0.49734090631048156) -- 5
Buddy Teevens [1820]: (0.11819063435944965, 0.6096660255458918) -- 3
Tom Amstutz [30]: (0.11880635015117447, 0.4405525190540178) -- 7
Bob Pruett [1498]: (0.12306844755369284, 0.614543838740135) -- 3
Doc Holliday [863]: (0.12432203121076218, 0.5499522053131156) -- 4
Jack Bicknell [135]: (0.12650062328791534, 0.5071958243150885) -- 5
Rick Stockstill [1762]: (0.12972152997087832, 0.4306875123562633) -- 8
Kevin Wilson [1996]: (0.13233977929917495, 0.6238151704856171) -- 3
Chris Scelfo [1629]: (0.132796513941079, 0.5134917149682521) -- 5
Tommy West [1955]: (0.13331263547410516, 0.4342786178594901) -- 8
Turner Gill [692]: (0.13438419666148058, 0.4819097785557249) -- 6
R.C. Slocum [1696]: (0.14333534313902585, 0.9945956913437328) -- 1
Patrick Higgins [843]: (0.14347551695455707, 0.994735865159264) -- 1
Danny Hope [878]: (0.1436180467036977, 0.6350934378901398) -- 3
Joker Phillips [1462]: (0.14783111404445515, 0.6393065052308973) -- 3
Joe Glenn [700]: (0.1492333274300943, 0.49675890932433864) -- 6
Ted Roof [1583]: (0.15162730007316455, 0.5772574741755181) -- 4
Sylvester Croom [398]: (0.15488812089362036, 0.5355833219207935) -- 5
Vic Koenning [1035]: (0.157777859979147, 0.759709824749917) -- 2
Mike Johnson [953]: (0.1626051200152936, 1.0138654682200006) -- 1
David Bailiff [63]: (0.1628446953434231, 0.48459086424626646) -- 7
Kliff Kingsbury [1018]: (0.16636982589764648, 1.0176301741023535) -- 1
Tom Craft [378]: (0.17108156044475914, 0.5967117345471127) -- 4
Ed Orgeron [1407]: (0.17127317655224727, 0.6627485677386894) -- 3
Paul Pasqualoni [1432]: (0.17331458028732613, 0.5208401621815705) -- 6
Phil Bennett [118]: (0.17383145779797365, 0.495577626700817) -- 7
Bill Cubit [411]: (0.17398639970546093, 0.4749523820908459) -- 8
Mike London [1114]: (0.1804532056317501, 0.6060833797341036) -- 4
Matt Wells [1953]: (0.1823698258976465, 1.0336301741023535) -- 1
Ed Kezirian [999]: (0.18643879141488784, 1.037699139619595) -- 1
