Pat Collins [344]: (-0.48422105700397833, 0.6642227197988287) -- 1
Trevor Rees [1524]: (-0.4833376226951286, 0.6651061541076785) -- 2
Billy Alton [24]: (-0.4821229622494707, 0.6663208145533364) -- 1
Raymond Curfman [419]: (-0.4805351855285218, 0.6679085912742853) -- 2
J.B. Craig [379]: (-0.47957636062365216, 0.6688674161791549) -- 1
Frank Wickhorst [1972]: (-0.47547954000001175, 0.6729642368027953) -- 1
Merle Schlosser [1636]: (-0.4744628068487913, 0.6739809699540158) -- 2
Miami (OH)_UNKNOWN_COACH: (-0.4687900538654103, 0.6796537229373968) -- 2
Robert Marshall [1155]: (-0.46401758983469155, 0.34805479255406335) -- 2
Loyola Marymount_UNKNOWN_COACH: (-0.46328610486736965, 0.6851576719354374) -- 2
Whitman_UNKNOWN_COACH: (-0.4609991712842956, 0.6874446055185115) -- 2
Wayne Hart [796]: (-0.4609636324436727, 0.6874801443591344) -- 1
Okie Blanchard [152]: (-0.4594677900407478, 0.6889759867620593) -- 1
Charlie Jamerson [927]: (-0.4565706289965926, 0.3555017533921623) -- 2
Horace Hendrickson [825]: (-0.45640331996893824, 0.35566906241981666) -- 2
Bill Dole [497]: (-0.4533401758354792, 0.3587322065532757) -- 2
Delaware_UNKNOWN_COACH: (-0.4524625422326638, 0.6959812345701433) -- 2
Edwin Sweetland [1800]: (-0.4508274351506362, 0.6976163416521709) -- 1
Larry Porter [1483]: (-0.44649056862535635, 0.36558181376339854) -- 2
Walter Kichefski [1000]: (-0.4458465022100826, 0.7025972745927245) -- 1
Joe Bach [55]: (-0.4441017143748025, 0.7043420624280046) -- 1
Bryan Harsin [791]: (-0.44404198038749626, 0.7044017964153109) -- 1
Curtis Johnson [948]: (-0.4439381199164504, 0.7045056568863567) -- 1
Craig Cirbus [310]: (-0.44337719006688053, 0.7050665867359265) -- 2
Doc Newton [1362]: (-0.44336281965841173, 0.36870956273034317) -- 2
Arkansas State_UNKNOWN_COACH: (-0.44145426085460593, 0.7069895159482011) -- 3
Richmond_UNKNOWN_COACH: (-0.4374260551023295, 0.3746463272864254) -- 2
John Gilroy [696]: (-0.4369669864406192, 0.7114767903621879) -- 1
Clark Jarnagin [936]: (-0.4356188199864415, 0.3764535624023134) -- 2
George Scott [1646]: (-0.43501105143046465, 0.37706133095829025) -- 2
Joel Hunt [903]: (-0.43412456727581583, 0.7143192095269912) -- 1
Jon Embree [564]: (-0.4337232421474544, 0.3783491402413005) -- 2
Fred Swan [1797]: (-0.433337826574727, 0.7151059502280801) -- 1
William Osmanski [1409]: (-0.4305888240321407, 0.3814835583566142) -- 2
George Barlow [80]: (-0.4300016684734348, 0.7184421083293723) -- 1
E.T. Pickering [1463]: (-0.42987687115240825, 0.7185669056503988) -- 2
Pete Tillman [1841]: (-0.42842319299590215, 0.38364918939285275) -- 2
Robbie Caldwell [240]: (-0.42721757915772096, 0.7212261976450861) -- 1
W.H. Britton [190]: (-0.42636793200299106, 0.722075844799816) -- 1
Ron Caragher [260]: (-0.4257386317231475, 0.7227051450796595) -- 1
John Kellison [984]: (-0.423076329961394, 0.3889960524273609) -- 3
Dick Clausen [319]: (-0.42227595393952755, 0.38979642844922735) -- 2
Richard Voris [1898]: (-0.4200797389465583, 0.24297458473969286) -- 3
Edward Baker [66]: (-0.4182013491676984, 0.7302424276351087) -- 1
George Melinkovich [1248]: (-0.41759311823271017, 0.39447926415604473) -- 2
Ed Kezirian [999]: (-0.41706382928813746, 0.7313799475146696) -- 1
Fort Benning_UNKNOWN_COACH: (-0.4162738419592845, 0.3957985404294704) -- 3
H.E. Smith [1702]: (-0.41598319970333186, 0.39608918268542304) -- 2
Julius Wagner [1905]: (-0.4135630952313881, 0.3985092871573668) -- 3
Ellwood Ludwig [1126]: (-0.40820809982997674, 0.7402356769728303) -- 2
Nick Ragus [1511]: (-0.4073428456816116, 0.4047295367071433) -- 2
Sewanee_UNKNOWN_COACH: (-0.40647342281780247, 0.40559895957095243) -- 3
Don Strock [1778]: (-0.4050574759971136, 0.4070149063916413) -- 3
Tom Boisture [160]: (-0.4047165388941528, 0.4073558434946021) -- 2
Jack Hegarty [820]: (-0.4028425866952144, 0.4092297956935405) -- 2
Guy Lowman [1123]: (-0.40240734176046733, 0.40966504062828757) -- 3
Bob Deming [457]: (-0.4020124075423004, 0.4100599748464545) -- 2
Bob Williams [1982]: (-0.40096613482588056, 0.41110624756287434) -- 3
Punk Berryman [127]: (-0.3981599686470147, 0.7502838081557923) -- 1
Mike Locksley [1111]: (-0.3979156639434841, 0.4141567184452708) -- 2
George Koonsman [1037]: (-0.39738046040721176, 0.7510633163955953) -- 1
Cal State Los Angeles_UNKNOWN_COACH: (-0.39487895907384574, 0.41719342331490916) -- 3
Brian Polian [1478]: (-0.39232563102626394, 0.7561181457765431) -- 1
Bob Valesente [1878]: (-0.3893044248620035, 0.4227679575267514) -- 2
Idaho_UNKNOWN_COACH: (-0.38871042862897753, 0.42336195375977737) -- 3
Richard Selcer [1653]: (-0.3885141166731138, 0.4235582657156411) -- 2
J.R. Boone [163]: (-0.3874927876957798, 0.2755615359904714) -- 3
Georgia Pre-Flight_UNKNOWN_COACH: (-0.3872794503062017, 0.7611643264966054) -- 2
David Elson [561]: (-0.3867026665845343, 0.4253697158042206) -- 3
Richard Smith [1709]: (-0.38575561710155903, 0.762688159701248) -- 1
Dennis Fryzel [659]: (-0.38484566543448384, 0.42722671695427106) -- 2
Howard McChesney [1186]: (-0.38389644504603676, 0.42817593734271814) -- 2
Bill Reinhart [1532]: (-0.3836200884395636, 0.4284522939491913) -- 2
Hank Hardwick [775]: (-0.38102002386324374, 0.43105235852551116) -- 2
William Ankney [43]: (-0.3808207090815367, 0.4312516733072182) -- 2
California-Santa Barbara_UNKNOWN_COACH: (-0.38057323741058824, 0.43149914497816666) -- 2
Trinity (Texas)_UNKNOWN_COACH: (-0.37984997935848086, 0.7685937974443262) -- 3
Forrest Gregg [728]: (-0.37978840929987856, 0.7686553675029285) -- 2
Ellison Ketchum [997]: (-0.3793343648673633, 0.7691094119354438) -- 1
Harvey Harmon [781]: (-0.3792351767130929, 0.7692086000897141) -- 1
Fred Holtkamp [875]: (-0.37818640569283835, 0.43388597669591655) -- 2
John Peterson [1454]: (-0.3742865685261369, 0.437785813862618) -- 2
Leslie Moser [1316]: (-0.3740774135260694, 0.4379949688626855) -- 2
Bernie Witucki [2010]: (-0.37403528415358345, 0.43803709823517145) -- 2
Matt Simon [1689]: (-0.37288553201423413, 0.43918685037452077) -- 3
Perry Moss [1319]: (-0.37265027368026815, 0.43942210870848675) -- 2
Fred Robbins [1555]: (-0.3720856658631051, 0.4399867165256498) -- 2
Rob Ianello [915]: (-0.371541855059929, 0.4405305273288259) -- 2
Gonzaga_UNKNOWN_COACH: (-0.3682318312585826, 0.7802119455442245) -- 1
Bob Naso [1346]: (-0.3675913555396249, 0.44448102684913) -- 2
Larry Reisbig [1533]: (-0.365490729235963, 0.2975635944502882) -- 3
Louisiana State_UNKNOWN_COACH: (-0.36529341297854917, 0.44677896941020573) -- 2
Dutch Witte [2009]: (-0.36498665567526045, 0.44708572671349445) -- 2
E.H. Harlan [778]: (-0.3648284971341971, 0.44724388525455777) -- 2
Joe Coleman [337]: (-0.3645981379720521, 0.4474742444167028) -- 2
Bradley_UNKNOWN_COACH: (-0.3645896856826784, 0.4474826967060765) -- 3
Earl Able [3]: (-0.3627965489163965, 0.4492758334723584) -- 2
Hampden-Sydney_UNKNOWN_COACH: (-0.36183444185105584, 0.45023794053769906) -- 2
Byron Wimberly [1999]: (-0.3611836227902693, 0.4508887595984856) -- 2
Tally Stevens [1746]: (-0.36054195985812365, 0.45153042253063125) -- 2
Frank Gorton [712]: (-0.3554114480356827, 0.30764287565056847) -- 3
Don Treadwell [1860]: (-0.3524159905404654, 0.4596563918482895) -- 2
Rick Tolley [1851]: (-0.35166493795844517, 0.46040744443030973) -- 2
Connecticut_UNKNOWN_COACH: (-0.35069813542412775, 0.7977456413786793) -- 3
Bob Carlson [266]: (-0.3505576205759755, 0.4615147618127794) -- 2
Mike Hankwitz [765]: (-0.3499650903718625, 0.7984786864309446) -- 1
John Sauer [1622]: (-0.349767835054744, 0.4623045473340109) -- 2
Massachusetts_UNKNOWN_COACH: (-0.3485612018901476, 0.4635111804986073) -- 6
C. Noel Workman [2023]: (-0.3478695080574657, 0.3151848156287855) -- 3
E.T. McDonald [1199]: (-0.3471708344162452, 0.4649015479725097) -- 2
Irving Pray [1488]: (-0.34685689120253105, 0.801586885600276) -- 2
Jack Croft [393]: (-0.34637089385616554, 0.46570148853258936) -- 2
Garrick McGee [1207]: (-0.3463433548286141, 0.4657290275601408) -- 2
Wichita State_UNKNOWN_COACH: (-0.3441367821452028, 0.4679356002435521) -- 3
W.C. Smith [1712]: (-0.3434872435476776, 0.4685851388410773) -- 2
Norm Chow [303]: (-0.3414242082704816, 0.4706481741182733) -- 2
Tom Lovat [1121]: (-0.34125015354007543, 0.32180417014617574) -- 3
Roy Lester [1089]: (-0.34123874307875923, 0.32181558060749194) -- 3
Maurice Smith [1707]: (-0.33974656874944376, 0.47232581363931114) -- 3
Glenn Presnell [1489]: (-0.33851198571743046, 0.8099317910853766) -- 1
Ben Wilson [1994]: (-0.3377097510268706, 0.4743626313618843) -- 2
Steve Musseau [1338]: (-0.33756585861139093, 0.32548846507486023) -- 3
Willie Taggart [1804]: (-0.3338309592775526, 0.3292233644086986) -- 3
Justin Fuente [660]: (-0.3322430999051837, 0.4798292824835712) -- 2
T.T. McConnell [1191]: (-0.33123349737860824, 0.48083888501014665) -- 2
Hobbs Adams [5]: (-0.3298857448381284, 0.3331685788481228) -- 3
Lud Wray [2024]: (-0.32494133313446183, 0.8235024436683452) -- 1
Mare Island Marines_UNKNOWN_COACH: (-0.3247794503062017, 0.8236643264966054) -- 2
Hal Mitchell [1284]: (-0.3232533459430612, 0.33980097774318996) -- 3
Gil Bartosh [90]: (-0.32297269323568883, 0.34008163045056233) -- 3
George Bohler [159]: (-0.3223220623667484, 0.4897503200220065) -- 2
Thomas Cecchini [288]: (-0.32218038895856327, 0.48989199343019163) -- 2
Dick Offenhamer [1397]: (-0.32194792671939865, 0.3411063969668525) -- 4
John Rhodes [1541]: (-0.320137516216501, 0.3429168074697502) -- 3
Scott Shafer [1655]: (-0.31923567701931027, 0.8292080997834967) -- 1
Robert McNeish [1237]: (-0.3190243734786591, 0.3440299502075921) -- 3
Vaughn Corley [362]: (-0.3186711625567584, 0.34438316112949274) -- 3
Harry McDevitt [1198]: (-0.31831393306482236, 0.8301298437379847) -- 1
James Patton [1437]: (-0.3181069407954967, 0.4939654415932582) -- 2
Roland Cowell [375]: (-0.31801989411960446, 0.49405248826915044) -- 2
John Idzik [916]: (-0.31752725357750533, 0.34552707010874584) -- 3
Frosty Ferzacca [613]: (-0.3171660285826954, 0.4949063538060595) -- 2
Robert Winslow [2002]: (-0.31614556052717224, 0.3469087631590789) -- 3
Mike Stock [1761]: (-0.3156060114016187, 0.25861587699978483) -- 4
Todd Dodge [493]: (-0.31533740326037196, 0.3477169204258792) -- 3
Ray Dauber [436]: (-0.3132839577399821, 0.4987884246487728) -- 2
David Lee [1085]: (-0.3130852038361882, 0.2611366845652153) -- 4
Fred Zechman [2049]: (-0.31272444204858707, 0.3503298816376641) -- 3
Richard Bell [111]: (-0.31265578671942934, 0.8357879900833778) -- 1
Jerry Baldwin [70]: (-0.3123598854440943, 0.35069443824215685) -- 3
Dick Jamieson [930]: (-0.3121506323367843, 0.4999217500519706) -- 2
Ernest Hefferle [819]: (-0.3112400708136486, 0.5008323115751063) -- 2
Cappy Cappon [259]: (-0.3102663181689666, 0.5018060642197884) -- 2
Matt Wells [1953]: (-0.30943922266391494, 0.8390045541388922) -- 1
George Karras [975]: (-0.30839687321067855, 0.5036755091780764) -- 2
Ron Blackledge [145]: (-0.3079327628654006, 0.35512156082085056) -- 3
Haskell_UNKNOWN_COACH: (-0.30772911865846914, 0.2664927697429344) -- 6
Chris Thomsen [1834]: (-0.30699097565779665, 0.8414528011450104) -- 1
Ralph Young [2040]: (-0.30663007957248317, 0.5054423028162718) -- 3
